customer_id,last_purchase_days_ago,total_orders,total_spent_usd,support_tickets_opened,is_churned,churn_risk_score,predicted_churn
CUST-1000,21,15,3048.17,1,0,0.1,0
CUST-1001,135,5,681.3,2,0,22.6,0
CUST-1002,59,20,503.42,1,0,2.4,0
CUST-1003,41,12,745.18,3,0,0.4,0
CUST-1004,7,5,350.8,3,0,8.6,0
CUST-1005,7,16,1160.08,1,0,0.0,0
CUST-1006,2,9,583.57,2,0,1.2,0
CUST-1007,90,16,568.98,2,0,1.9,0
CUST-1008,41,4,248.53,5,0,24.6,0
CUST-1009,55,7,426.8,2,0,8.9,0
CUST-1010,1,19,1142.88,2,0,0.0,0
CUST-1011,157,10,505.3,2,1,48.8,0
CUST-1012,80,11,1466.22,2,0,1.7,0
CUST-1013,10,22,5648.32,4,0,0.1,0
CUST-1014,9,9,293.72,1,0,10.3,0
CUST-1015,9,11,140.15,1,0,10.9,0
CUST-1016,16,8,460.12,0,0,5.4,0
CUST-1017,33,34,478.51,6,0,10.2,0
CUST-1018,25,35,779.86,0,0,0.2,0
CUST-1019,15,16,765.66,3,0,0.2,0
CUST-1020,42,8,789.03,1,0,2.4,0
CUST-1021,6,14,799.5,1,0,0.3,0
CUST-1022,15,11,109.31,0,0,13.3,0
CUST-1023,20,48,2718.93,1,0,0.0,0
CUST-1024,27,24,1422.9,1,0,0.1,0
CUST-1025,69,11,658.91,1,0,1.5,0
CUST-1026,10,14,1712.47,2,0,0.2,0
CUST-1027,32,7,776.63,3,0,2.7,0
CUST-1028,40,11,766.26,0,0,0.6,0
CUST-1029,2,4,763.62,2,0,1.0,0
CUST-1030,42,18,859.84,2,0,0.2,0
CUST-1031,8,16,986.14,2,0,0.0,0
CUST-1032,3,10,656.76,1,0,0.7,0
CUST-1033,133,32,762.54,1,0,6.9,0
CUST-1034,151,7,465.58,0,0,24.0,0
CUST-1035,74,19,390.28,3,0,18.8,0
CUST-1036,16,16,688.76,1,0,0.2,0
CUST-1037,4,2,143.1,1,0,8.7,0
CUST-1038,51,7,187.26,4,1,53.4,1
CUST-1039,26,2,162.14,2,1,11.4,0
CUST-1040,5,37,1430.08,6,0,0.1,0
CUST-1041,30,12,633.89,1,0,0.4,0
CUST-1042,1,8,715.56,1,0,2.1,0
CUST-1043,108,13,823.74,2,0,4.5,0
CUST-1044,13,32,2559.24,2,0,0.0,0
CUST-1045,48,18,1552.79,1,0,0.1,0
CUST-1046,16,12,752.8,2,0,0.2,0
CUST-1047,33,22,1819.07,3,0,0.1,0
CUST-1048,35,9,383.18,2,0,11.7,0
CUST-1049,9,4,355.24,0,0,7.2,0
CUST-1050,157,14,808.43,1,0,10.9,0
CUST-1051,67,22,2975.22,1,0,0.5,0
CUST-1052,126,26,1883.6,1,0,0.5,0
CUST-1053,101,10,466.21,0,0,6.3,0
CUST-1054,40,16,1435.43,1,0,0.1,0
CUST-1055,114,19,2632.43,2,0,1.6,0
CUST-1056,4,9,444.38,1,0,3.8,0
CUST-1057,9,7,309.08,1,0,14.6,0
CUST-1058,2,11,74.01,1,0,18.4,0
CUST-1059,17,8,578.72,2,0,2.5,0
CUST-1060,22,12,650.59,0,0,0.4,0
CUST-1061,14,17,1521.47,0,0,0.1,0
CUST-1062,79,7,634.35,0,0,1.4,0
CUST-1063,19,16,394.21,2,0,6.1,0
CUST-1064,14,19,2102.75,1,0,0.0,0
CUST-1065,35,16,640.45,2,1,0.3,0
CUST-1066,6,25,1238.82,0,0,0.1,0
CUST-1067,72,10,813.45,1,0,1.5,0
CUST-1068,3,7,217.89,2,1,25.9,0
CUST-1069,195,11,488.96,3,0,36.6,0
CUST-1070,66,14,407.66,3,0,13.7,0
CUST-1071,9,6,696.92,2,0,1.2,0
